,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,Context
0,3CVPyuuD6HxWXgPbbGqbg6,Supermodel,Are You What You Want to Be?,Foster The People,FALSE,57,0.599,0.816,6,-5.002,0,0.0514,0.00702,2.80E-06,0.508,0.595,126.02,audio_features,spotify:track:3CVPyuuD6HxWXgPbbGqbg6,https://api.spotify.com/v1/tracks/3CVPyuuD6HxWXgPbbGqbg6,https://api.spotify.com/v1/audio-analysis/3CVPyuuD6HxWXgPbbGqbg6,270840,4,Studying
1,4JlKk8J0Q7IdNchS0iJRSj,Rising Up,Everlasting,Polock,FALSE,43,0.646,0.83,2,-5.72,1,0.0317,0.00431,0.00116,0.108,0.664,112,audio_features,spotify:track:4JlKk8J0Q7IdNchS0iJRSj,https://api.spotify.com/v1/tracks/4JlKk8J0Q7IdNchS0iJRSj,https://api.spotify.com/v1/audio-analysis/4JlKk8J0Q7IdNchS0iJRSj,185477,4,Walking
2,2pBxXAmA8jL9OGBKliJUPR,Great Escape,Past 2,Zemaria,FALSE,30,0.776,0.498,1,-5.597,1,0.0416,0.000214,0.0178,0.0665,0.664,124.047,audio_features,spotify:track:2pBxXAmA8jL9OGBKliJUPR,https://api.spotify.com/v1/tracks/2pBxXAmA8jL9OGBKliJUPR,https://api.spotify.com/v1/audio-analysis/2pBxXAmA8jL9OGBKliJUPR,220427,4,Walking
3,7rZtlqFnct512PSecidpS0,Daydream Forever,Miko,The Chain Gang Of 1974,FALSE,39,0.475,0.916,6,-6.406,0,0.068,0.000814,0.897,0.124,0.619,155.007,audio_features,spotify:track:7rZtlqFnct512PSecidpS0,https://api.spotify.com/v1/tracks/7rZtlqFnct512PSecidpS0,https://api.spotify.com/v1/audio-analysis/7rZtlqFnct512PSecidpS0,182107,4,Studying
4,6vMmWF61OPyBT5Ghio77Pn,Ordinaire EP,Jungles,Stepdad,FALSE,14,0.447,0.906,1,-6.182,1,0.0729,0.0348,0.165,0.137,0.563,173.017,audio_features,spotify:track:6vMmWF61OPyBT5Ghio77Pn,https://api.spotify.com/v1/tracks/6vMmWF61OPyBT5Ghio77Pn,https://api.spotify.com/v1/audio-analysis/6vMmWF61OPyBT5Ghio77Pn,282289,4,Walking
5,78xOxDHxkTTgdnQ4ItdG4K,Mark IV with Joshua Radin (From Fifa13),Mark IV with Joshua Radin (From Fifa13),Ashtar Command,FALSE,25,0.346,0.653,7,-8.81,1,0.0328,0.000789,0.348,0.256,0.131,170.131,audio_features,spotify:track:78xOxDHxkTTgdnQ4ItdG4K,https://api.spotify.com/v1/tracks/78xOxDHxkTTgdnQ4ItdG4K,https://api.spotify.com/v1/audio-analysis/78xOxDHxkTTgdnQ4ItdG4K,341761,4,Studying
6,3IuTuTQnjXxCuVkEIpMiXQ,Get out While You Can,Get out While You Can,Duologue,FALSE,28,0.277,0.936,11,-4.6,0,0.106,4.21E-05,0.00268,0.358,0.328,121.669,audio_features,spotify:track:3IuTuTQnjXxCuVkEIpMiXQ,https://api.spotify.com/v1/tracks/3IuTuTQnjXxCuVkEIpMiXQ,https://api.spotify.com/v1/audio-analysis/3IuTuTQnjXxCuVkEIpMiXQ,258774,4,Studying
7,0ZCxGFX3ro9kD9j8MU8cLj,When The Night (Deluxe),September,St. Lucia,FALSE,33,0.746,0.561,2,-7.911,1,0.0339,0.0152,0.144,0.189,0.387,120.002,audio_features,spotify:track:0ZCxGFX3ro9kD9j8MU8cLj,https://api.spotify.com/v1/tracks/0ZCxGFX3ro9kD9j8MU8cLj,https://api.spotify.com/v1/audio-analysis/0ZCxGFX3ro9kD9j8MU8cLj,346467,4,Walking
8,28R290UQZxslNAt5OYqjoG,Borderland,Champion,The Chevin,FALSE,33,0.383,0.741,9,-5.555,0,0.0485,0.00485,4.64E-06,0.155,0.21,142.967,audio_features,spotify:track:28R290UQZxslNAt5OYqjoG,https://api.spotify.com/v1/tracks/28R290UQZxslNAt5OYqjoG,https://api.spotify.com/v1/audio-analysis/28R290UQZxslNAt5OYqjoG,226533,4,Studying
9,36pHJ5lqNQTLLzGTy8G7xV,Listen,Around Town,The Kooks,FALSE,51,0.578,0.933,9,-3.469,0,0.0582,0.0218,1.19E-05,0.374,0.513,106.973,audio_features,spotify:track:36pHJ5lqNQTLLzGTy8G7xV,https://api.spotify.com/v1/tracks/36pHJ5lqNQTLLzGTy8G7xV,https://api.spotify.com/v1/audio-analysis/36pHJ5lqNQTLLzGTy8G7xV,250692,4,Studying
10,0gFYaybc4gOzplkux4iA8Z,"Oh, What A Life",Hit It,American Authors,FALSE,56,0.639,0.914,7,-3.661,1,0.0931,0.00226,0,0.513,0.75,120.07,audio_features,spotify:track:0gFYaybc4gOzplkux4iA8Z,https://api.spotify.com/v1/tracks/0gFYaybc4gOzplkux4iA8Z,https://api.spotify.com/v1/audio-analysis/0gFYaybc4gOzplkux4iA8Z,207453,4,Walking
